,source,reference,translation,z-score,avg-score,annotators,bert_metric_p,bert_metric_r,bert_metric_f,bleu_metric_mod_prec,bleu_metric_sen_bleu,Rouge1_metric_f,Rouge1_metric_r,Rouge1_metric_p,Rouge2_metric_f,Rouge2_metric_r,Rouge2_metric_p,RougeL_metric_f,RougeL_metric_r,RougeL_metric_p
3183,"Little by little, Prosa began to stand out as a good option, said RoPS coach Juha Malinen in a press release.","Pikkuhiljaa, Prosa alkoi erottua niin hyvä vaihtoehto, sanoi RoPS-valmentaja Juha Malinen lehdistötiedotteessa.","Pikkuhiljaa joukosta alkoi erottua hyvänä vaihtoehtona Prosa, RoPSin valmentaja Juha Malinen kertoi tiedotteessa.",0.949479503960916,73.0,1,0.6221188306808472,0.5980104207992554,0.6104777455329895,0.23008849557522124,7.1551652437080996e-155,0.3199999950080001,0.3333333333333333,0.3076923076923077,0.1739130384877128,0.18181818181818182,0.16666666666666666,0.3199999950080001,0.3333333333333333,0.3076923076923077
2630,"These records, pictured above (he emailed me the snap, I didn't follow him home), line his living room walls.","Nämä levyllä, kuvassa hän minulle sähköpostitse (Snap, I didn 't seuraa häntä kotiin), linjasi olohuoneen seinille.","Nämä levyt, jotka näkyvät kuvassa yllä (hän lähetti otoksen sähköpostilla, en seurannut häntä kotiin), peittävät hänen olohuoneensa seinät.",-0.366196483051901,37.0,1,0.45075902342796326,0.44381871819496155,0.44796380400657654,0.17985611510791366,6.3260820419853015e-155,0.23529411266435996,0.25,0.2222222222222222,0.06249999501953165,0.06666666666666667,0.058823529411764705,0.23529411266435996,0.25,0.2222222222222222
6079,"Nelson, who has been in the Rwanda national team, is a 205 cm tall opposite hitter.","Nelson, joka on ollut Ruandan maajoukkueessa, on 205 cm korkea hitteri.",Ruandan maajoukkueessa esiintynyt Nelson on 205-senttinen hakkuri.,0.6693290469311179,80.0,1,0.5820366144180298,0.5566855072975159,0.5698156356811523,0.3333333333333333,8.612150057732663e-155,0.2222222174691359,0.18181818181818182,0.2857142857142857,0.0,0.0,0.0,0.23529411280276827,0.2,0.2857142857142857
5393,"We will always have the breaststroke, and long may it reign.","Meillä on aina rintauinti, ja se saattaa nousta.","Meillä on aina rintauinti, kauan se eläköön.",-0.841301700584306,24.0,1,0.5546712875366211,0.7135432362556458,0.6317086815834045,0.3409090909090909,8.709465576654553e-155,0.6666666616888889,0.625,0.7142857142857143,0.4615384565680473,0.42857142857142855,0.5,0.6666666616888889,0.625,0.7142857142857143
5052,"At the beach, many of the people hadn’t even heard about the attacks.","Tällä rannalla, monet ihmiset, olisi edes kuullut iskuja.",Rannalla moni ei ollut edes kuullut iskuista.,-0.841301700584306,24.0,1,0.525952935218811,0.4719826281070709,0.4992315471172333,0.3111111111111111,8.32012740542163e-155,0.266666661688889,0.25,0.2857142857142857,0.1538461488757398,0.14285714285714285,0.16666666666666666,0.266666661688889,0.25,0.2857142857142857
2702,"On this fantastic project, this closure represents leading edge civil engineering.","Tästä fantastinen projekti, sulkeminen on johtaviin rakennustekniset työt.",Tässä fantastisessa projektissa tämä sulku edustaa rakennustekniikan kärkeä.,-0.6585689246103039,29.0,1,0.5120738744735718,0.44836485385894775,0.480363130569458,0.25,7.458340731200295e-155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2586,"In the Court of Appeal’s opinion, Tola and Waroma had no special reason to conduct an unusually extensive inspection.","Hovioikeus katsoo, että Tola ja Warma ei ollut erityistä syytä käydä harvinaisen laaja tarkastus.",Tolalla ja Waromalla ei hovioikeuden mielestä ollut erityistä syytä tehdä tavanomaista laajempaa tarkastusta.,0.657107062402512,65.0,1,0.6109618544578552,0.5802246332168579,0.5959813594818115,0.2018348623853211,6.701473539670231e-155,0.3703703653772291,0.35714285714285715,0.38461538461538464,0.15999999500800016,0.15384615384615385,0.16666666666666666,0.3703703653772291,0.35714285714285715,0.38461538461538464
1892,Balance beam and floor exercise - where Biles is the defending world champion - lay in wait.,Tasapaino wc- ja hoitoharjoitukseen - jossa Biles on puolustava maailmanmestari - pääsee odottamaan.,"Tasapainopuomi ja permanto, joissa Biles on hallitseva maailmanmestari, odottivat.",-1.3383685912973202,6.0,1,0.588000476360321,0.4493628442287445,0.5169728398323059,0.24390243902439024,7.366823882103778e-155,0.2727272678925621,0.23076923076923078,0.3333333333333333,0.09999999520000023,0.08333333333333333,0.125,0.2857142808163266,0.25,0.3333333333333333
1003,"The events in Rio de Janeiro feel constant and inescapable, a furious relay of competition and striving.","Tapahtumia Rio de Janeiro tuntuu jatkuvasti ja väistämätön, raivoissaan rele kilpailu ja pyrkimys.","Rio de Janeiron tapahtumat tuntuvat jatkuvilta ja väistämättömiltä, raivoisalta kilpailun ja ponnistelun viestiltä.",-0.146917151883098,43.0,1,0.4314970076084137,0.5154123902320862,0.47324833273887634,0.20869565217391303,6.814420298427999e-155,0.3076923026923078,0.3076923076923077,0.3076923076923077,0.08333332833333364,0.08333333333333333,0.08333333333333333,0.24999999500000009,0.25,0.25
4775,I have no answer for that.,Minulla ei ole vastausta siihen.,Minulla ei ole vastausta siihen.,2.27825457932046,100.0,1,1.0000003576278687,1.0000003576278687,1.0000003576278687,0.4375,9.866457383969696e-155,0.999999995,1.0,1.0,0.999999995,1.0,1.0,0.999999995,1.0,1.0
